occupation,number_of_workers_all,median_weekly_earnings_all,number_of_workers_men,median_weekly_earnings_men,number_of_workers_women,median_weekly_earnings_women,year,l4,l3,l2,l1,l0
First-line supervisors of food preparation and serving workers,423,491,174,580,249,448,2013,Total,Service occupations,Food preparation and serving related occupations,Food preparation and serving related occupations,First-line supervisors of food preparation and serving workers
Cooks,1209,402,791,411,418,382,2013,Total,Service occupations,Food preparation and serving related occupations,Food preparation and serving related occupations,Cooks
Food preparation workers,398,387,206,392,191,380,2013,Total,Service occupations,Food preparation and serving related occupations,Food preparation and serving related occupations,Food preparation workers
Bartenders,207,513,98,594,109,483,2013,Total,Service occupations,Food preparation and serving related occupations,Food preparation and serving related occupations,Bartenders
"Combined food preparation and serving workers, including fast food",175,384,68,413,107,370,2013,Total,Service occupations,Food preparation and serving related occupations,Food preparation and serving related occupations,"Combined food preparation and serving workers, including fast food"
"Counter attendants, cafeteria, food concession, and coffee shop",57,320,14,0,43,0,2013,Total,Service occupations,Food preparation and serving related occupations,Food preparation and serving related occupations,"Counter attendants, cafeteria, food concession, and coffee shop"
Waiters and waitresses,883,413,325,449,558,400,2013,Total,Service occupations,Food preparation and serving related occupations,Food preparation and serving related occupations,Waiters and waitresses
"Food servers, nonrestaurant",109,458,36,0,74,410,2013,Total,Service occupations,Food preparation and serving related occupations,Food preparation and serving related occupations,"Food servers, nonrestaurant"
Dining room and cafeteria attendants and bartender helpers,130,412,76,426,55,398,2013,Total,Service occupations,Food preparation and serving related occupations,Food preparation and serving related occupations,Dining room and cafeteria attendants and bartender helpers
Dishwashers,127,356,106,359,21,0,2013,Total,Service occupations,Food preparation and serving related occupations,Food preparation and serving related occupations,Dishwashers
"Hosts and hostesses, restaurant, lounge, and coffee shop",69,393,9,0,60,391,2013,Total,Service occupations,Food preparation and serving related occupations,Food preparation and serving related occupations,"Hosts and hostesses, restaurant, lounge, and coffee shop"
"Food preparation and serving related workers, all other",1,0,1,0,0,0,2013,Total,Service occupations,Food preparation and serving related occupations,Food preparation and serving related occupations,"Food preparation and serving related workers, all other"
Building and grounds cleaning and maintenance occupations,3421,475,2279,505,1142,417,2013,,,,,
First-line supervisors of housekeeping and janitorial workers,186,638,108,801,78,511,2013,Total,Service occupations,Building and grounds cleaning and maintenance occupations,Building and grounds cleaning and maintenance occupations,First-line supervisors of housekeeping and janitorial workers
"First-line supervisors of landscaping, lawn service, and groundskeeping workers",104,766,99,759,5,0,2013,Total,Service occupations,Building and grounds cleaning and maintenance occupations,Building and grounds cleaning and maintenance occupations,"First-line supervisors of landscaping, lawn service, and groundskeeping workers"
Janitors and building cleaners,1537,487,1116,517,421,418,2013,Total,Service occupations,Building and grounds cleaning and maintenance occupations,Building and grounds cleaning and maintenance occupations,Janitors and building cleaners
Maids and housekeeping cleaners,733,413,128,467,605,406,2013,Total,Service occupations,Building and grounds cleaning and maintenance occupations,Building and grounds cleaning and maintenance occupations,Maids and housekeeping cleaners
Pest control workers,62,609,60,606,2,0,2013,Total,Service occupations,Building and grounds cleaning and maintenance occupations,Building and grounds cleaning and maintenance occupations,Pest control workers
